Episode: 105, Total Reward: 0, Total Loss: 0.0
Episode: 106, Total Reward: 0, Total Loss: 0.0
Episode: 107, Total Reward: 9, Total Loss: 0.06869387626647949
Episode: 108, Total Reward: 7, Total Loss: -0.5692713260650635
Episode: 109, Total Reward: 9, Total Loss: 0.8090219497680664
Episode: 110, Total Reward: 5, Total Loss: -0.22487401962280273
Episode: 111, Total Reward: 0, Total Loss: 0.0
Episode: 112, Total Reward: 0, Total Loss: 0.0
Episode: 113, Total Reward: 0, Total Loss: 0.0
Episode: 114, Total Reward: 12, Total Loss: 0.46556854248046875
Episode: 115, Total Reward: 4, Total Loss: 0.22105741500854492
Episode: 116, Total Reward: 6, Total Loss: -0.68143630027771
Episode: 117, Total Reward: 6, Total Loss: -0.12017083168029785
Episode: 118, Total Reward: 5, Total Loss: -0.25466322898864746
Episode: 119, Total Reward: 8, Total Loss: 0.6787819862365723
Episode: 120, Total Reward: 9, Total Loss: -0.08876943588256836
Episode: 121, Total Reward: 7, Total Loss: -0.11410117149353027
Episode: 122, Total Reward: 0, Total Loss: 0.0
Episode: 123, Total Reward: 0, Total Loss: 0.0
Episode: 124, Total Reward: 0, Total Loss: 0.0
Episode: 125, Total Reward: 4, Total Loss: -0.3370788097381592
Episode: 126, Total Reward: 0, Total Loss: 0.0
Episode: 127, Total Reward: 0, Total Loss: 0.0
Episode: 128, Total Reward: 0, Total Loss: 0.0
Episode: 129, Total Reward: 2, Total Loss: 0.14310526847839355
Episode: 130, Total Reward: 7, Total Loss: -0.2015972137451172
Episode: 131, Total Reward: 9, Total Loss: 0.6572467088699341
Episode: 132, Total Reward: 3, Total Loss: -0.4691004753112793
Episode: 133, Total Reward: 8, Total Loss: -0.20811247825622559
Episode: 134, Total Reward: 0, Total Loss: 0.0
Episode: 135, Total Reward: 0, Total Loss: 0.0
Episode: 136, Total Reward: 10, Total Loss: -0.23904764652252197
Episode: 137, Total Reward: 8, Total Loss: 0.5426921844482422
Episode: 138, Total Reward: 5, Total Loss: -0.41362643241882324
Episode: 139, Total Reward: 0, Total Loss: 0.0
Episode: 140, Total Reward: 9, Total Loss: 0.22541165351867676
Episode: 141, Total Reward: 0, Total Loss: 0.0
Episode: 142, Total Reward: 0, Total Loss: 0.0
Episode: 143, Total Reward: 0, Total Loss: 0.0
Episode: 144, Total Reward: 5, Total Loss: -0.44548559188842773
Episode: 145, Total Reward: 6, Total Loss: -0.45725011825561523
Episode: 146, Total Reward: 8, Total Loss: -0.31281208992004395
Episode: 147, Total Reward: 0, Total Loss: 0.0
Episode: 148, Total Reward: 3, Total Loss: -0.45239996910095215
Episode: 149, Total Reward: 5, Total Loss: -0.4532601833343506
Episode: 150, Total Reward: 13, Total Loss: 0.8068562746047974
Episode: 151, Total Reward: 5, Total Loss: -0.4012472629547119
Episode: 152, Total Reward: 7, Total Loss: -0.43952763080596924
Episode: 153, Total Reward: 5, Total Loss: -0.3495757579803467
Episode: 154, Total Reward: 5, Total Loss: -0.14276385307312012
Episode: 155, Total Reward: 10, Total Loss: -0.2866342067718506
Episode: 156, Total Reward: 8, Total Loss: 1.5951001644134521
Episode: 157, Total Reward: 0, Total Loss: 0.0
Episode: 158, Total Reward: 8, Total Loss: -0.4630739688873291
Episode: 159, Total Reward: 5, Total Loss: -0.29372525215148926
Episode: 160, Total Reward: 1, Total Loss: -0.18745124340057373
Episode: 161, Total Reward: 11, Total Loss: -0.3103609085083008
Episode: 162, Total Reward: 8, Total Loss: -0.44812846183776855
Episode: 163, Total Reward: 0, Total Loss: 0.0
Episode: 164, Total Reward: 5, Total Loss: -0.24704647064208984
Episode: 165, Total Reward: 8, Total Loss: -0.11046910285949707
Episode: 166, Total Reward: 0, Total Loss: 0.0
Episode: 167, Total Reward: 5, Total Loss: -0.11734485626220703
Episode: 168, Total Reward: 5, Total Loss: -0.38052821159362793
Episode: 169, Total Reward: 9, Total Loss: 0.18403959274291992
Episode: 170, Total Reward: 0, Total Loss: 0.0
Episode: 171, Total Reward: 5, Total Loss: -0.4736926555633545
Episode: 172, Total Reward: 4, Total Loss: -0.12447619438171387
Episode: 173, Total Reward: 5, Total Loss: 0.853723406791687
Episode: 174, Total Reward: 0, Total Loss: 0.0
Episode: 175, Total Reward: 10, Total Loss: 0.6668543815612793
Episode: 176, Total Reward: 1, Total Loss: -0.46729373931884766
Episode: 177, Total Reward: 0, Total Loss: 0.0
Episode: 178, Total Reward: 7, Total Loss: -0.08007121086120605
Episode: 179, Total Reward: 0, Total Loss: 0.0
Episode: 180, Total Reward: 4, Total Loss: -0.16974687576293945
Episode: 181, Total Reward: 5, Total Loss: -0.4448378086090088
Episode: 182, Total Reward: 0, Total Loss: 0.0
Episode: 183, Total Reward: 2, Total Loss: -0.13400578498840332
Episode: 184, Total Reward: 10, Total Loss: 0.13260674476623535
Episode: 185, Total Reward: 10, Total Loss: -0.06118059158325195
Episode: 186, Total Reward: 6, Total Loss: -0.1709907054901123
Episode: 187, Total Reward: 8, Total Loss: -0.04808765649795532
Episode: 188, Total Reward: 4, Total Loss: -0.4141426086425781
Episode: 189, Total Reward: 6, Total Loss: 0.15775108337402344
Episode: 190, Total Reward: 0, Total Loss: 0.0
Episode: 191, Total Reward: 10, Total Loss: -0.5169005393981934
Episode: 192, Total Reward: 5, Total Loss: -0.3843655586242676
Episode: 193, Total Reward: 9, Total Loss: -0.23819494247436523
Episode: 194, Total Reward: 13, Total Loss: 0.2711200416088104
Episode: 195, Total Reward: 5, Total Loss: 0.04224872589111328
Episode: 196, Total Reward: 8, Total Loss: -0.2688053846359253
Episode: 197, Total Reward: 0, Total Loss: 0.0
Episode: 198, Total Reward: 0, Total Loss: 0.0
Episode: 199, Total Reward: 11, Total Loss: -0.16189932823181152
Episode: 200, Total Reward: 7, Total Loss: -0.3340761661529541
Episode: 201, Total Reward: 8, Total Loss: 0.3886425495147705
Episode: 202, Total Reward: 5, Total Loss: -0.09275174140930176
Episode: 203, Total Reward: 5, Total Loss: -0.4879341125488281
